Data,Espectadores ̼nicos
2020-05-08,183
2020-05-09,57
2020-05-21,134
2020-06-14,63
2020-11-04,101
2020-11-11,92
2020-11-27,66
2020-12-09,48
2020-12-13,1148
2020-12-14,368
2020-12-15,89
2020-12-16,59
2020-12-17,39
2020-12-18,36
2021-01-21,55
2021-01-22,38
2021-04-17,47
2021-04-18,46
2021-04-21,36
2021-04-22,40
2021-04-26,41
2021-04-27,65
2021-04-28,65
2021-04-29,137
2021-04-30,62
2021-05-03,41
2021-05-04,51
2021-05-05,57
2021-05-06,38
2021-05-08,37
2021-05-09,38
2021-05-10,39
2021-05-26,42
2021-05-31,43
2021-06-02,42
2021-06-08,49
2021-06-10,36
2021-06-16,37
2021-06-17,38
2021-06-21,42
2021-06-22,58
2021-06-23,52
2021-06-24,37
2021-06-29,40
2021-06-30,54
2021-07-01,40
2021-07-04,37
2021-07-05,56
2021-07-11,36
2021-07-20,37
2021-07-26,63
2021-07-27,38
2021-08-02,48
2021-08-03,49
2021-08-04,50
2021-08-05,52
2021-08-06,44
2021-08-08,40
2021-08-09,49
2021-08-10,67
2021-08-11,51
2021-08-12,44
2021-08-13,40
2021-08-14,41
2021-08-16,54
2021-08-17,37
2021-08-18,44
2021-08-23,39
2021-08-24,41
2021-08-25,37
2021-08-26,43
2021-08-30,49
2021-08-31,38
2021-09-15,37
2021-09-16,38
2021-09-17,41
2021-09-22,46
2021-09-24,38
2021-09-28,43
2021-09-29,43
2021-10-04,64
2021-10-05,81
2021-10-06,44
2021-10-07,55
2021-10-08,47
2021-10-09,50
2021-10-10,40
2021-10-11,49
2021-10-12,43
2021-10-13,42
2021-10-14,44
2021-10-18,37
2021-10-19,40
2021-10-20,42
2021-10-21,47
2021-10-22,45
2021-10-26,45
2021-10-27,47
2021-11-03,47
2021-11-04,38
2021-11-05,43
2021-11-08,42
2021-11-09,42
2021-11-10,45
2021-11-11,50
2021-11-15,38
2021-11-17,40
2021-11-18,45
2021-11-22,41
2021-11-24,42
2021-11-26,48
2021-11-29,47
2021-11-30,41
2021-12-01,41
2021-12-08,45
2021-12-13,43
2021-12-14,44
2021-12-15,41
2021-12-21,39
2022-01-03,42
2022-01-04,46
2022-01-07,38
2022-01-08,55
2022-01-10,54
2022-01-11,84
2022-01-12,63
2022-01-13,45
2022-01-14,37
2022-01-15,46
2022-01-16,38
2022-01-17,47
2022-01-18,44
2022-01-19,43
2022-01-20,41
2022-01-23,38
2022-01-24,51
2022-01-25,37
2022-01-26,49
2022-01-27,41
2022-01-28,38
2022-01-31,46
2022-02-01,46
2022-02-02,53
2022-02-03,57
2022-02-04,40
2022-02-07,40
2022-02-08,46
2022-02-09,45
2022-02-10,47
2022-02-12,38
2022-02-14,62
2022-02-15,41
2022-02-16,43
2022-02-17,51
2022-02-18,56
2022-02-21,51
2022-02-22,57
2022-02-23,42
2022-02-24,45
2022-02-25,43
2022-03-01,47
2022-03-02,44
2022-03-03,53
2022-03-04,47
2022-03-05,95
2022-03-06,46
2022-03-07,76
2022-03-08,89
2022-03-09,82
2022-03-10,68
2022-03-11,70
2022-03-12,63
2022-03-14,53
2022-03-15,74
2022-03-16,60
2022-03-17,57
2022-03-19,49
2022-03-20,49
2022-03-21,50
2022-03-22,51
2022-03-23,53
2022-03-24,57
2022-03-25,45
2022-03-26,50
2022-03-27,50
2022-03-28,57
2022-03-29,61
2022-03-30,51
2022-03-31,55
2022-04-01,50
2022-04-03,38
2022-04-04,63
2022-04-05,53
2022-04-06,49
2022-04-07,60
2022-04-08,45
2022-04-11,45
2022-04-12,55
2022-04-13,53
2022-04-14,42
2022-04-15,43
2022-04-16,45
2022-04-17,37
2022-04-18,59
2022-04-19,48
2022-04-20,54
2022-04-21,41
2022-04-22,48
2022-04-23,52
2022-04-24,41
2022-04-25,62
2022-04-26,76
2022-04-27,63
2022-04-28,54
2022-04-29,69
2022-04-30,55
2022-05-01,43
2022-05-02,62
2022-05-03,65
2022-05-04,75
2022-05-05,38
2022-05-06,63
2022-05-07,51
2022-05-08,55
2022-05-09,76
2022-05-10,76
2022-05-11,86
2022-05-12,75
2022-05-13,61
2022-05-14,50
2022-05-15,42
2022-05-16,63
2022-05-17,58
2022-05-18,60
2022-05-19,50
2022-05-20,37
2022-05-21,49
2022-05-22,38
2022-05-23,58
2022-05-24,46
2022-05-25,49
2022-05-26,54
2022-05-28,48
2022-05-29,61
2022-05-30,58
2022-05-31,69
2022-06-01,38
2022-06-02,41
2022-06-03,51
2022-06-04,40
2022-06-06,68
2022-06-07,42
2022-06-08,56
2022-06-09,43
2022-06-12,45
2022-06-13,57
2022-06-14,51
2022-06-15,54
2022-06-16,40
2022-06-17,51
2022-06-18,42
2022-06-19,45
2022-06-20,65
2022-06-21,54
2022-06-22,37
2022-06-23,45
2022-06-24,53
2022-06-25,37
2022-06-27,58
2022-06-28,53
2022-06-29,59
2022-06-30,51
2022-07-01,37
2022-07-02,40
2022-07-03,37
2022-07-04,50
2022-07-05,59
2022-07-06,58
2022-07-07,48
2022-07-08,50
2022-07-10,47
2022-07-11,50
2022-07-12,58
2022-07-13,42
2022-07-14,50
2022-07-15,45
2022-07-16,46
2022-07-17,41
2022-07-18,53
2022-07-19,62
2022-07-20,54
2022-07-21,64
2022-07-22,53
2022-07-23,50
2022-07-24,44
2022-07-25,111
2022-07-26,144
2022-07-27,109
2022-07-28,75
2022-07-29,64
2022-07-30,75
2022-07-31,50
2022-08-01,63
2022-08-02,62
2022-08-03,48
2022-08-04,69
2022-08-05,52
2022-08-06,40
2022-08-07,39
2022-08-08,68
2022-08-09,65
2022-08-10,60
2022-08-11,63
2022-08-13,43
2022-08-14,40
2022-08-15,51
2022-08-16,50
2022-08-17,65
2022-08-18,44
2022-08-19,48
2022-08-21,37
2022-08-22,60
2022-08-23,70
2022-08-24,38
2022-08-25,48
2022-08-26,47
2022-08-27,39
2022-08-28,41
2022-08-29,83
2022-08-30,71
2022-08-31,61
2022-09-01,55
2022-09-02,53
2022-09-03,42
2022-09-04,54
2022-09-05,45
2022-09-06,49
2022-09-07,53
2022-09-08,71
2022-09-09,61
2022-09-10,37
2022-09-11,37
2022-09-12,69
2022-09-13,52
2022-09-14,68
2022-09-15,259
2022-09-16,301
2022-09-17,159
2022-09-18,115
2022-09-19,141
2022-09-20,158
2022-09-21,129
2022-09-22,112
2022-09-23,114
2022-09-24,107
2022-09-25,115
2022-09-26,104
2022-09-27,82
2022-09-28,113
2022-09-29,92
2022-09-30,94
2022-10-01,62
2022-10-02,90
2022-10-03,114
2022-10-04,107
2022-10-05,92
2022-10-06,107
2022-10-07,112
2022-10-08,104
2022-10-09,110
2022-10-10,107
2022-10-11,74
2022-10-12,82
2022-10-13,79
2022-10-14,104
2022-10-15,91
2022-10-16,85
2022-10-17,79
2022-10-18,93
2022-10-19,84
2022-10-20,70
2022-10-21,105
2022-10-22,81
2022-10-23,100
2022-10-24,97
2022-10-25,85
2022-10-26,81
2022-10-27,87
2022-10-28,97
2022-10-29,84
2022-10-30,75
2022-10-31,85
2022-11-01,71
2022-11-02,73
2022-11-03,80
2022-11-04,105
2022-11-05,99
2022-11-06,89
2022-11-07,71
2022-11-08,87
2022-11-09,66
2022-11-10,61
2022-11-11,77
2022-11-12,66
2022-11-13,76
2022-11-14,74
2022-11-15,59
2022-11-16,67
2022-11-17,49
2022-11-18,71
2022-11-19,59
2022-11-20,80
2022-11-21,51
2022-11-22,56
2022-11-23,61
2022-11-24,40
2022-11-25,51
2022-11-26,37
2022-11-27,46
2022-11-28,65
2022-11-29,59
2022-11-30,43
2022-12-01,43
2022-12-02,37
2022-12-03,42
2022-12-04,43
2022-12-06,39
2022-12-07,56
2022-12-08,44
2022-12-11,39
2022-12-12,48
2022-12-13,47
2022-12-14,37
2022-12-15,38
2022-12-19,37
2022-12-20,46
2022-12-21,44
2022-12-23,37
2022-12-26,48
2022-12-28,48
2022-12-29,43
2023-01-02,51
2023-01-03,51
2023-01-04,67
2023-01-05,60
2023-01-06,43
2023-01-07,46
2023-01-08,42
2023-01-09,63
2023-01-10,103
2023-01-11,107
2023-01-12,67
2023-01-13,68
2023-01-14,63
2023-01-15,63
2023-01-16,88
2023-01-17,72
2023-01-18,57
2023-01-19,63
2023-01-20,51
2023-01-21,46
2023-01-22,42
2023-01-23,69
2023-01-24,57
2023-01-25,70
2023-01-26,108
2023-01-27,76
2023-01-28,52
2023-01-29,49
2023-01-30,58
2023-01-31,62
2023-02-01,46
2023-02-02,51
2023-02-03,53
2023-02-04,42
2023-02-05,48
2023-02-06,73
2023-02-07,68
2023-02-08,63
2023-02-09,56
2023-02-10,56
2023-02-11,53
2023-02-12,58
2023-02-13,55
2023-02-14,50
2023-02-15,56
2023-02-16,51
2023-02-17,47
2023-02-18,38
2023-02-19,40
2023-02-20,48
2023-02-22,67
2023-02-23,74
2023-02-24,149
2023-02-25,160
2023-02-26,67
2023-02-27,85
2023-02-28,63
2023-03-01,437
2023-03-02,111
Mostrando os primeiros 500 resultados,